Info 0    [20:32:11.437] Starting TS Server
Info 26   [20:32:16.246] Elapsed:: 10ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 27   [20:32:16.246] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 28   [20:32:16.259] Elapsed:: 13ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 29   [20:32:16.259] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging/types-registry-3b634a7d :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 30   [20:32:16.259] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging/types-registry-3b634a7d :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 31   [20:32:16.259] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 32   [20:32:16.269] Elapsed:: 10ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 33   [20:32:16.269] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json.1058162985 :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 34   [20:32:16.269] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json.1058162985 :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 35   [20:32:16.270] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 36   [20:32:16.276] Elapsed:: 6ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 37   [20:32:16.276] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json.1058162985 :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 38   [20:32:16.276] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json.1058162985 :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 39   [20:32:16.277] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 40   [20:32:16.281] Elapsed:: 4ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 41   [20:32:16.281] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
